name,generic_name,manufacturer,category,unit,hsn,gst_rate,barcode,rack_location,schedule,reorder_level,batch_no,expiry,purchase_price,mrp,sale_price,stock
Paracetamol 500mg,Paracetamol,Cipla,Analgesic / Antipyretic,tab,30049099,12,8901234567001,A-01,H,50,B2401,2026-12-31,0.80,1.50,1.40,500
Ibuprofen 400mg,Ibuprofen,Sun Pharma,Analgesic / Anti-inflammatory,tab,30049099,12,8901234567002,A-01,H,30,B2402,2026-10-31,1.20,2.50,2.30,300
Diclofenac 50mg,Diclofenac Sodium,Alkem,Analgesic / Anti-inflammatory,tab,30049099,12,8901234567003,A-02,H,20,B2403,2026-08-31,1.50,3.00,2.80,200
Aspirin 75mg,Acetylsalicylic Acid,Bayer,Antiplatelet,tab,30049099,5,8901234567004,A-02,H,30,B2404,2026-11-30,0.50,1.20,1.10,400
Nimesulide 100mg,Nimesulide,Mankind,Analgesic / Anti-inflammatory,tab,30049099,12,8901234567005,A-03,H,20,B2405,2026-09-30,1.80,3.50,3.20,150
Amoxicillin 500mg,Amoxicillin Trihydrate,Cipla,Antibiotic,cap,30049041,12,8901234567006,B-01,RX,20,B2406,2026-06-30,4.50,9.00,8.50,200
Azithromycin 500mg,Azithromycin,Zydus,Antibiotic,tab,30049041,12,8901234567007,B-01,RX,15,B2407,2026-07-31,12.00,22.00,20.00,100
Ciprofloxacin 500mg,Ciprofloxacin HCl,Ranbaxy,Antibiotic,tab,30049041,12,8901234567008,B-02,RX,20,B2408,2026-08-31,5.00,10.00,9.50,150
Metronidazole 400mg,Metronidazole,Alkem,Antibiotic / Antiprotozoal,tab,30049041,12,8901234567009,B-02,RX,20,B2409,2026-10-31,1.20,2.80,2.60,200
Doxycycline 100mg,Doxycycline Hyclate,Lupin,Antibiotic,cap,30049041,12,8901234567010,B-03,RX,15,B2410,2026-09-30,3.50,8.00,7.50,100
Amoxicillin + Clavulanic 625mg,Amoxicillin + Clavulanate,GSK,Antibiotic,tab,30049041,12,8901234567011,B-03,RX,15,B2411,2026-05-31,18.00,35.00,32.00,80
Omeprazole 20mg,Omeprazole,AstraZeneca,Antacid / PPI,cap,30049099,12,8901234567012,C-01,H,30,B2412,2026-12-31,1.50,4.00,3.80,300
Pantoprazole 40mg,Pantoprazole Sodium,Sun Pharma,Antacid / PPI,tab,30049099,12,8901234567013,C-01,H,30,B2413,2026-11-30,2.00,5.50,5.00,250
Ranitidine 150mg,Ranitidine HCl,Glaxo,Antacid / H2 Blocker,tab,30049099,12,8901234567014,C-02,H,20,B2414,2026-10-31,1.00,2.50,2.30,200
Domperidone 10mg,Domperidone,Cipla,Antiemetic,tab,30049099,12,8901234567015,C-02,H,20,B2415,2026-09-30,1.20,3.00,2.80,180
Ondansetron 4mg,Ondansetron HCl,Zydus,Antiemetic,tab,30049099,12,8901234567016,C-03,RX,15,B2416,2026-08-31,4.00,9.00,8.50,100
Metformin 500mg,Metformin HCl,USV,Antidiabetic,tab,30049099,5,8901234567017,D-01,RX,30,B2417,2026-12-31,1.20,3.00,2.80,400
Metformin 1000mg,Metformin HCl,Cipla,Antidiabetic,tab,30049099,5,8901234567018,D-01,RX,20,B2418,2026-11-30,2.50,5.50,5.00,200
