name,generic_name,manufacturer,category,unit,hsn,gst_rate,schedule,rack_location,reorder_level,batch_no,expiry,purchase_price,mrp,sale_price,stock
Paracetamol 500mg,Paracetamol,GSK,Analgesic,tab,30049099,12,OTC,R1-A1,50,PCM2401,2027-06,1.10,1.50,1.50,500
Crocin Advance 500mg,Paracetamol,GSK,Analgesic,tab,30049099,12,OTC,R1-A1,50,CRO2403,2027-03,1.60,2.20,2.20,300
Dolo 650mg,Paracetamol,Micro Labs,Analgesic,tab,30049099,12,OTC,R1-A2,60,DOL2404,2027-09,1.80,2.50,2.50,420
Combiflam,Ibuprofen+Paracetamol,Sanofi,Analgesic,tab,30049099,12,OTC,R1-A2,30,CMB2312,2026-12,2.80,3.80,3.80,180
Aspirin 75mg,Aspirin,USV,Antiplatelet,tab,30049099,5,OTC,R1-A3,40,ASP2402,2027-04,0.85,1.20,1.20,250
Brufen 400mg,Ibuprofen,Abbott,Analgesic,tab,30049099,12,OTC,R1-A3,40,BRF2401,2027-01,3.00,4.20,4.20,200
Volini Gel 50g,Diclofenac,Sun Pharma,Topical,tube,30049099,12,OTC,R3-B1,10,VOL2408,2027-08,75.00,95.00,95.00,40
Amoxicillin 500mg,Amoxicillin,Cipla,Antibiotic,cap,30041020,12,H,R2-B1,40,AMX2407,2027-07,6.50,8.50,8.50,180
Azithromycin 500mg,Azithromycin,Cipla,Antibiotic,tab,30041020,12,H,R2-B1,30,AZT2404,2027-04,14.00,18.00,18.00,120
Ciprofloxacin 500mg,Ciprofloxacin,Ranbaxy,Antibiotic,tab,30041020,12,H,R2-B2,40,CIP2403,2027-03,5.20,6.80,6.80,150
Augmentin 625 Duo,Amoxicillin+Clavulanate,GSK,Antibiotic,tab,30041020,12,H,R2-B2,20,AUG2408,2027-08,22.00,28.00,28.00,80
Azithral 500,Azithromycin,Alembic,Antibiotic,tab,30041020,12,H,R2-B3,25,AZL2405,2027-05,13.00,17.00,17.00,90
Pantoprazole 40mg,Pantoprazole,Alkem,Antacid,tab,30049099,12,H,R4-A1,50,PAN2406,2027-06,3.60,4.80,4.80,260
Omeprazole 20mg,Omeprazole,Dr Reddy's,Antacid,cap,30049099,12,H,R4-A1,50,OMZ2407,2027-07,2.60,3.50,3.50,300
Rantac 150mg,Ranitidine,JB Chemicals,Antacid,tab,30049099,12,OTC,R4-A2,50,RNT2404,2027-04,2.10,2.80,2.80,240
Digene Tablet,Mg/Al Hydroxide,Abbott,Antacid,tab,30049099,5,OTC,R4-A2,50,DIG2403,2027-03,1.60,2.20,2.20,320
Eno Sachet Lemon,Fruit Salt,GSK,Antacid,sachet,30049099,5,OTC,R4-A3,100,ENO2310,2026-10,3.80,5.00,5.00,400
Cetirizine 10mg,Cetirizine,Cipla,Antihistamine,tab,30049099,5,OTC,R5-A1,60,CET2408,2027-08,1.30,1.80,1.80,500
Allegra 120mg,Fexofenadine,Sanofi,Antihistamine,tab,30049099,12,H,R5-A1,30,ALG2406,2027-06,7.20,9.50,9.50,160
Montair LC,Montelukast+Levocetirizine,Cipla,Antihistamine,tab,30049099,12,H,R5-A2,30,MTR2409,2027-09,9.00,12.00,12.00,140
Sinarest,Paracetamol+Phenylephrine,Centaur,Cold,tab,30049099,12,OTC,R5-B1,40,SIN2403,2027-03,2.80,3.80,3.80,200
Cheston Cold,Paracetamol+Phenylephrine,Cipla,Cold,tab,30049099,12,OTC,R5-B1,40,CHT2405,2027-05,3.20,4.20,4.20,180
